Suite ID,Suite Name,Test Case ID,Title / Summary,Description / Purpose,Steps,Expected Result,Mapped Control / Reference,Notes / Comments,Automation Possible?
INFO,WSTG,WSTG-INFO-01,Conduct Search Engine Discovery / Reconnaissance for Information Leakage,Objective: Conduct Search Engine Discovery / Reconnaissance for Information Leakage. Follow OWASP WSTG guidance for detailed test steps.,Refer to OWASP WSTG 'How to Test' section for this test; create application-specific steps.,Application behaves securely per OWASP guidance (no vulnerability present).,WSTG-INFO-01,Source: OWASP WSTG (stable/latest pages).,Partial/Manual
INFO,WSTG,WSTG-INFO-02,Fingerprint Web Server,Objective: Fingerprint Web Server. Follow OWASP WSTG guidance for detailed test steps.,Refer to OWASP WSTG 'How to Test' section for this test; create application-specific steps.,Application behaves securely per OWASP guidance (no vulnerability present).,WSTG-INFO-02,Source: OWASP WSTG (stable/latest pages).,Partial/Manual
INFO,WSTG,WSTG-INFO-03,Identify Application Entry Points,Objective: Identify Application Entry Points. Follow OWASP WSTG guidance for detailed test steps.,Refer to OWASP WSTG 'How to Test' section for this test; create application-specific steps.,Application behaves securely per OWASP guidance (no vulnerability present).,WSTG-INFO-03,Source: OWASP WSTG (stable/latest pages).,Partial/Manual
INFO,WSTG,WSTG-INFO-04,Map Application Functionality and Parse Client Side,Objective: Map Application Functionality and Parse Client Side. Follow OWASP WSTG guidance for detailed test steps.,Refer to OWASP WSTG 'How to Test' section for this test; create application-specific steps.,Application behaves securely per OWASP guidance (no vulnerability present).,WSTG-INFO-04,Source: OWASP WSTG (stable/latest pages).,Partial/Manual
INFO,WSTG,WSTG-INFO-05,Review Webpage Content for Information Leakage,Objective: Review Webpage Content for Information Leakage. Follow OWASP WSTG guidance for detailed test steps.,Refer to OWASP WSTG 'How to Test' section for this test; create application-specific steps.,Application behaves securely per OWASP guidance (no vulnerability present).,WSTG-INFO-05,Source: OWASP WSTG (stable/latest pages).,Partial/Manual
INFO,WSTG,WSTG-INFO-06,Identify Application Entry Points,Objective: Identify Application Entry Points. Follow OWASP WSTG guidance for detailed test steps.,Refer to OWASP WSTG 'How to Test' section for this test; create application-specific steps.,Application behaves securely per OWASP guidance (no vulnerability present).,WSTG-INFO-06,Source: OWASP WSTG (stable/latest pages).,Partial/Manual
INFO,WSTG,WSTG-INFO-07,Map Execution Paths Through Application,Objective: Map Execution Paths Through Application. Follow OWASP WSTG guidance for detailed test steps.,Refer to OWASP WSTG 'How to Test' section for this test; create application-specific steps.,Application behaves securely per OWASP guidance (no vulnerability present).,WSTG-INFO-07,Source: OWASP WSTG (stable/latest pages).,Partial/Manual
INFO,WSTG,WSTG-INFO-08,Fingerprint Web Application Framework,Objective: Fingerprint Web Application Framework. Follow OWASP WSTG guidance for detailed test steps.,Refer to OWASP WSTG 'How to Test' section for this test; create application-specific steps.,Application behaves securely per OWASP guidance (no vulnerability present).,WSTG-INFO-08,Source: OWASP WSTG (stable/latest pages).,Partial/Manual
CONF,WSTG,WSTG-CONF-01,Test Network Infrastructure Configuration,Objective: Test Network Infrastructure Configuration. Follow OWASP WSTG guidance for detailed test steps.,Refer to OWASP WSTG 'How to Test' section for this test; create application-specific steps.,Application behaves securely per OWASP guidance (no vulnerability present).,WSTG-CONF-01,Source: OWASP WSTG (stable/latest pages).,Partial/Manual
CONF,WSTG,WSTG-CONF-02,Test Application Platform Configuration,Objective: Test Application Platform Configuration. Follow OWASP WSTG guidance for detailed test steps.,Refer to OWASP WSTG 'How to Test' section for this test; create application-specific steps.,Application behaves securely per OWASP guidance (no vulnerability present).,WSTG-CONF-02,Source: OWASP WSTG (stable/latest pages).,Partial/Manual
