Ref. No.,Category,Test Name,Low Complexity (hours),Medium Complexity (hours),High Complexity (hours),Assumptions
4.1,,Information Gathering,,,,
4.1.1,WSTG-v5-INFO-01,Conduct Search Engine Discovery and Reconnaissance for Information Leakage,1,2,4,Automated tools (e.g., Google Dorks, OSINT) with manual verification; scales with app exposure.
4.1.2,WSTG-v5-INFO-02,Fingerprint Web Server,0.5,1,2,Quick tool-based (e.g., WhatWeb, Nmap); minimal scaling unless custom servers.
4.1.3,WSTG-v5-INFO-03,Review Webserver Metafiles for Information Leakage,0.5,1,2,Checks robots.txt, sitemap.xml; scales with number of metafiles.
4.1.4,WSTG-v5-INFO-04,Enumerate Applications on Webserver,1,2,4,Directory brute-forcing (e.g., Gobuster); scales with app size.
4.1.5,WSTG-v5-INFO-05,Review Webpage Comments and Metadata for Information Leakage,0.5,1,3,Manual page source review; scales with page count.
4.1.6,WSTG-v5-INFO-06,Identify Application Entry Points,1,2,4,Mapping forms/APIs; scales with endpoints.
4.1.7,WSTG-v5-INFO-07,Map Execution Paths Through Application,2,4,8,Manual path mapping; highly scales with app complexity.
4.1.8,WSTG-v5-INFO-08,Fingerprint Web Application Framework,0.5,1,2,Automated (e.g., Wappalyzer); minimal scaling.
4.1.9,WSTG-v5-INFO-09,Fingerprint Web Application,0.5,1,2,Identifies app version; minimal scaling.
4.1.10,WSTG-v5-INFO-10,Map Application Architecture,2,4,8,In-depth analysis; scales with architecture layers.
4.1.11,WSTG-v5-INFO-11,Test Automated OSINT Tools*,0.5,1,2,Tests modern OSINT (e.g., Maltego); scales with cloud assets.
4.2,,Configuration and Deployment Management,,,,
4.2.1,WSTG-v5-CONF-01,Test Network/Infrastructure Configuration,1,2,4,Network scans (e.g., Nmap); scales with infra size.
4.2.2,WSTG-v5-CONF-02,Test Application Platform Configuration,1,2,4,Reviews server configs (e.g., Apache); scales with custom setups.
4.2.3,WSTG-v5-CONF-03,Test File Extensions Handling for Sensitive Information,1,2,3,Tests file access; scales with file types.
4.2.4,WSTG-v5-CONF-04,Test Backup and Unreferenced Files for Sensitive Information,1,2,4,Searches backups; scales with app size.
4.2.5,WSTG-v5-CONF-05,Enumerate Infrastructure and Application Admin Interfaces,1.5,3,6,Scans admin panels; scales with interfaces.
4.2.6,WSTG-v5-CONF-06,Test HTTP Methods,0.5,1,1.5,Tests verbs (e.g., PUT); low scaling.
4.2.7,WSTG-v5-CONF-07,Test HTTP Strict Transport Security,0.5,1,1.5,HSTS header check; low scaling.
4.2.8,WSTG-v5-CONF-08,Test RIA Cross Domain Policy,0.5,1,2,Reviews crossdomain.xml; scales if RIA present.
4.2.9,WSTG-v5-CONF-09,Test Container Security*,1,2,4,Checks Docker/K8s configs; scales with cloud usage.
4.2.10,WSTG-v5-CONF-10,Test CI/CD Pipeline Security*,0.5,1,2,Tests IaC (e.g., Terraform); scales with pipelines.
4.3,,Identity Management,,,,
4.3.1,WSTG-v5-IDNT-01,Test Role Definitions,1,2,4,Reviews RBAC; scales with roles.
4.3.2,WSTG-v5-IDNT-02,Test User Registration Process,1,2,3,Tests registration flaws; scales with features.
4.3.3,WSTG-v5-IDNT-03,Test Account Provisioning Process,1,2,4,Tests provisioning; scales with automation.
4.3.4,WSTG-v5-IDNT-04,Test Account Enumeration and Guessable User Accounts,1,2,3,Tests enumeration; scales with user base.
4.3.5,WSTG-v5-IDNT-05,Test Weak or Unenforced Username Policy,0.5,1,1.5,Policy checks; low scaling.
4.3.6,WSTG-v5-IDNT-06,Test Permissions of Guest/Training Accounts,0.5,1,2,Guest access tests; scales if present.
4.3.7,WSTG-v5-IDNT-07,Test Account Suspension/Resumption Process,1,2,3,Suspension logic; scales with states.
4.3.8,WSTG-v5-IDNT-08,Test MFA Provisioning*,0.5,1,2,Tests MFA setup; scales with methods.
4.3.9,WSTG-v5-IDNT-09,Test Federated Identity (e.g., SAML/OIDC)*,0.5,1,2,Tests IdP integration; scales with providers.
4.4,,Authentication Testing,,,,
4.4.1,WSTG-v5-AUTHN-01,Testing for Credentials Transported over an Encrypted Channel,0.5,1,1.5,HTTPS/TLS 1.3 checks; low scaling.
4.4.2,WSTG-v5-AUTHN-02,Testing for Default Credentials,0.5,1,2,Default login tests; scales with accounts.
4.4.3,WSTG-v5-AUTHN-03,Testing for Weak Lockout Mechanism,1,2,3,Lockout policy tests; scales with policies.
4.4.4,WSTG-v5-AUTHN-04,Testing for Bypassing Authentication Schema,2,4,8,Bypass tests; highly scales with auth complexity.
4.4.5,WSTG-v5-AUTHN-05,Test Remember Password Functionality,0.5,1,2,Tests "remember me"; low scaling.
4.4.6,WSTG-v5-AUTHN-06,Testing for Browser Cache Weakness,0.5,1,1.5,Cache header checks; low scaling.
4.4.7,WSTG-v5-AUTHN-07,Testing for Weak Password Policy,0.5,1,1.5,Password policy review; low scaling.
4.4.8,WSTG-v5-AUTHN-08,Testing for Weak Security Question/Answer,0.5,1,2,Recovery question tests; scales if present.
4.4.9,WSTG-v5-AUTHN-09,Testing for Weak Password Change or Reset Functionalities,1,2,4,Reset flow tests; scales with flows.
4.4.10,WSTG-v5-AUTHN-10,Testing for Weaker Authentication in Alternative Channel,1,2,4,Alternative channel (e.g., API); scales with channels.
4.4.11,WSTG-v5-AUTHN-11,Testing for Biometric Authentication*,0.5,1,2,Biometric bypass; scales if implemented.
4.4.12,WSTG-v5-AUTHN-12,Testing for Passwordless Authentication (e.g., WebAuthn)*,0.5,1,2,Passwordless tests; scales with methods.
4.5,,Authorization Testing,,,,
4.5.1,WSTG-v5-AUTHZ-01,Testing Directory Traversal/File Include,1.5,3,6,Path traversal tests; scales with endpoints.
4.5.2,WSTG-v5-AUTHZ-02,Testing for Bypassing Authorization Schema,2,4,8,Bypass tests; highly scales with roles.
4.5.3,WSTG-v5-AUTHZ-03,Testing for Privilege Escalation,2,4,8,Escalation tests; scales with users/roles.
4.5.4,WSTG-v5-AUTHZ-04,Testing for Insecure Direct Object References,1.5,3,6,IDOR tests; scales with objects.
4.5.5,WSTG-v5-AUTHZ-05,Testing RBAC/ABAC Configurations*,1,2,4,Tests fine-grained access; scales with roles.
4.5.6,WSTG-v5-AUTHZ-06,Testing API Rate Limiting*,0.5,1,2,Rate limit tests; scales with API endpoints.
4.6,,Session Management Testing,,,,
4.6.1,WSTG-v5-SESS-01,Testing for Bypassing Session Management Schema,2,4,8,Session bypass; scales with session logic.
4.6.2,WSTG-v5-SESS-02,Testing for Cookies Attributes,0.5,1,1.5,Cookie flags (e.g., HttpOnly); low scaling.
4.6.3,WSTG-v5-SESS-03,Testing for Session Fixation,1,2,4,Fixation tests; scales with handling.
4.6.4,WSTG-v5-SESS-04,Testing for Exposed Session Variables,1,2,3,Session data exposure; scales with variables.
4.6.5,WSTG-v5-SESS-05,Testing for Cross Site Request Forgery,1.5,3,6,CSRF protection tests; scales with forms.
4.6.6,WSTG-v5-SESS-06,Testing for Logout Functionality,0.5,1,1.5,Logout tests; low scaling.
4.6.7,WSTG-v5-SESS-07,Test Session Timeout,0.5,1,1.5,Timeout tests; low scaling.
4.6.8,WSTG-v5-SESS-08,Testing for Session Puzzling,1,2,4,Puzzling tests; scales with complexity.
4.6.9,WSTG-v5-SESS-09,Testing Token Binding in SPAs/Microservices*,0.5,1,2,Tests JWT/token handling; scales with APIs.
4.7,,Input Validation Testing,,,,
4.7.1,WSTG-v5-INPV-01,Testing for Reflected Cross Site Scripting,2,4,8,XSS tests; scales with input fields.
